name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name
ID,VARCHAR(32),COLUMN,Y,,N,N,,,,
CODE,VARCHAR(3),COLUMN,Y,,N,N,,,,
CREATED_DATE,DATE,COLUMN,Y,,N,N,,,,
NAME,VARCHAR(40),COLUMN,Y,,N,N,,,,
REGION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,
IS_CLOSED,VARCHAR(6),COLUMN,Y,,N,N,,,,
IS_SALES,VARCHAR(6),COLUMN,Y,,N,N,,,,
IS_LETTINGS,VARCHAR(6),COLUMN,Y,,N,N,,,,
ADDRESS,VARCHAR(16777216),COLUMN,Y,,N,N,,,,
ADDRESS_BUILDING_NAME,VARCHAR(256),COLUMN,Y,,N,N,,,,
ADDRESS_BUILDING_NUMBER,VARCHAR(8),COLUMN,Y,,N,N,,,,
ADDRESS_LINE_1,VARCHAR(256),COLUMN,Y,,N,N,,,,
ADDRESS_LINE_2,VARCHAR(30),COLUMN,Y,,N,N,,,,
ADDRESS_LINE_3,VARCHAR(30),COLUMN,Y,,N,N,,,,
ADDRESS_LINE_4,VARCHAR(30),COLUMN,Y,,N,N,,,,
ADDRESS_POSTAL_CODE,VARCHAR(9),COLUMN,Y,,N,N,,,,
ADDRESS_COUNTRY_ISO_CODE,VARCHAR(7),COLUMN,Y,,N,N,,,,
ADDRESS_COUNTRY,VARCHAR(256),COLUMN,Y,,N,N,,,,
MANAGER_NEGOTIATOR_ID,VARCHAR(32),COLUMN,Y,,N,N,,,,
_CUSTOMER_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,
_LAST_SYNCH_AT,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,
