name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name
ID,VARCHAR(32),COLUMN,Y,,N,N,,,,
CODE,VARCHAR(9),COLUMN,Y,,N,N,,,,
CREATED_DATE,DATE,COLUMN,Y,,N,N,,,,
INCLUDE_IN_PIPELINE,VARCHAR(3),COLUMN,Y,,N,N,,,,
IS_EXTERNAL,VARCHAR(3),COLUMN,Y,,N,N,,,,
TYPE,VARCHAR(16),COLUMN,Y,,N,N,,,,
STATUS,VARCHAR(30),COLUMN,Y,,N,N,,,,
AMOUNT,FLOAT,COLUMN,Y,,N,N,,,,
PERCENTAGE_OF_ASKING_PRICE,FLOAT,COLUMN,Y,,N,N,,,,
SUBMITTED_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_INSTRUCTED_TO_SUBMITTED,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
REJECTED_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_SUBMITTED_TO_REJECTED,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
ACCEPTED_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_SUBMITTED_TO_ACCEPTED,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
WITHDRAWN_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_SUBMITTED_TO_WITHDRAWN,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
WITHDRAWN_REASON,VARCHAR(16777216),COLUMN,Y,,N,N,,,,
FALLTHROUGH_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_ACCEPTED_TO_FALLTHROUGH,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
EXCHANGED_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_ACCEPTED_TO_EXCHANGED,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
COMPLETION_DATE,DATE,COLUMN,Y,,N,N,,,,
DAYS_EXCHANGED_TO_COMPLETED,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,
APPLICANT_ID,VARCHAR(32),COLUMN,Y,,N,N,,,,
PROPERTY_ID,VARCHAR(32),COLUMN,Y,,N,N,,,,
PRIMARY_NEGOTIATOR_ID,VARCHAR(32),COLUMN,Y,,N,N,,,,
VENDOR_SOLICITOR_ID,VARCHAR(32),COLUMN,Y,,N,N,,,,
BUYER_SOLICITOR_ID,VARCHAR(32),COLUMN,Y,,N,N,,,,
BUYER_CHAIN_OFFER_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,
BUYER_CHAIN_STATUS,VARCHAR(6),COLUMN,Y,,N,N,,,,
VENDOR_CHAIN_OFFER_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,
